单词      复数    现在时            过去时
take	 ""	 "taking"	 "took"
ferine	 ""	 ""	 ""

frenzies	 ""	 ""	 ""

subjectively	 ""	 ""	 ""

fillibeg	 ""	 ""	 ""

fay	 ""	 ""	 ""

fissile	 ""	 ""	 ""

foregather	 ""	 "foregathering"	 "foregathered"

flossy	 ""	 ""	 ""

furbelow	 ""	 "furbelowing"	 "furbelowed"

frippery	 "fripperies"	 ""	 ""

fogged	 ""	 ""	 ""

forewarned	 ""	 ""	 ""

finlet	 ""	 ""	 ""

floridness	 ""	 ""	 ""

fisher	 "fishers"	 ""	 ""

untilled	 ""	 ""	 ""

fussy	 ""	 ""	 ""

fassaite	 ""	 ""	 ""

matchlock	 ""	 ""	 ""

minors	 ""	 ""	 ""

fitch	 ""	 ""	 ""

factoring	 ""	 ""	 ""

feudary	 ""	 ""	 ""

fovea	 "foveae"	 ""	 ""

fascicle	 ""	 ""	 ""

implicitly	 ""	 ""	 ""

furloughed	 ""	 ""	 ""

homestead	 "homesteads"	 ""	 ""

strategem	 ""	 ""	 ""

zest	 "zests"	 "zesting"	 "zested"

procurator	 "procurators"	 ""	 ""

floriform	 ""	 ""	 ""

plinth	 "plinths"	 ""	 ""

fiord	 ""	 ""	 ""

ship-rigged	 ""	 ""	 ""

frangulin	 ""	 ""	 ""

flavescent	 ""	 ""	 ""

gules	 ""	 ""	 ""

fourfold	 ""	 ""	 ""

formulated	 ""	 ""	 ""

truism	 "truisms"	 ""	 ""

sculling	 ""	 ""	 ""

flatterers	 ""	 ""	 ""

stinkard	 ""	 ""	 ""

Frenchman	 "Frenchmen"	 ""	 ""

hammerer	 ""	 ""	 ""

ropedancing	 ""	 ""	 ""

transmissible	 ""	 ""	 ""

exhilaration	 ""	 ""	 ""

Pimephales	 ""	 ""	 ""

magnificently	 ""	 ""	 ""

frere	 ""	 ""	 ""

bountifully	 ""	 ""	 ""

forewent	 null	 null	 null

frap	 ""	 ""	 ""

fluxibility	 ""	 ""	 ""

fac	 ""	 ""	 ""

fecundation	 ""	 ""	 ""

lingua	 "linguae"	 ""	 ""

foreknowing	 ""	 ""	 ""

high-colored	 ""	 ""	 ""

fluvial	 ""	 ""	 ""

fleering	 ""	 ""	 ""

flawed	 ""	 ""	 ""

foulard	 ""	 ""	 ""

sonata	 "sonatas"	 ""	 ""

folkland	 ""	 ""	 ""

fossilize	 ""	 "fossilizing"	 "fossilized"

ferricyanate	 ""	 ""	 ""

federalists	 ""	 ""	 ""

subdominant	 ""	 ""	 ""

farriery	 ""	 ""	 ""

orations	 ""	 ""	 ""

pyrophorus	 ""	 ""	 ""

fancy-free	 ""	 ""	 ""

footmanship	 ""	 ""	 ""

fleshed	 ""	 ""	 ""

flesher	 ""	 ""	 ""

fleetly	 ""	 ""	 ""

Messina	 null	 null	 null

flume	 ""	 ""	 ""

foamy	 ""	 ""	 ""

fabulist	 ""	 ""	 ""

ferity	 ""	 ""	 ""

linchpin	 "linchpins"	 ""	 ""

festally	 ""	 ""	 ""

faciend	 ""	 ""	 ""

figurated	 ""	 ""	 ""

flotant	 ""	 ""	 ""

newfangled	 ""	 ""	 ""

fictive	 ""	 ""	 ""

firefly	 "fireflies"	 ""	 ""

hazel	 "hazels"	 ""	 ""

locomotor	 ""	 ""	 ""

fumeless	 ""	 ""	 ""

flip-flap	 ""	 ""	 ""

faucal	 ""	 ""	 ""

frogbit	 ""	 ""	 ""

frondose	 ""	 ""	 ""

forisfamiliation	 ""	 ""	 ""

paternal	 ""	 ""	 ""

fumbler	 ""	 ""	 ""

fumbles	 ""	 ""	 ""

fraternizing	 ""	 ""	 ""

frostweed	 ""	 ""	 ""

friarly	 ""	 ""	 ""

fatiguing	 ""	 ""	 ""

fumbled	 ""	 ""	 ""

foveolated	 ""	 ""	 ""

fer	 ""	 ""	 ""

unprejudiced	 ""	 ""	 ""

finical	 ""	 ""	 ""

plumpness	 ""	 ""	 ""

fumaria	 ""	 ""	 ""

yearning	 "yearnings"	 ""	 ""

guinea-hen	 ""	 ""	 ""

Frimaire	 ""	 ""	 ""

forthy	 ""	 ""	 ""

precedents	 ""	 ""	 ""

frankfort	 ""	 ""	 ""

ridgepole	 ""	 ""	 ""

frailties	 ""	 ""	 ""

flightily	 ""	 ""	 ""

optional	 ""	 ""	 ""

funicle	 ""	 ""	 ""

fossilification	 ""	 ""	 ""

herbage	 ""	 ""	 ""

frolicly	 ""	 ""	 ""

Fuegian	 ""	 ""	 ""

foundress	 ""	 ""	 ""

flex	 ""	 "flexing"	 "flexed"

flagellating	 ""	 ""	 ""

flatting	 ""	 ""	 ""

foxy	 ""	 ""	 ""

frond	 "fronds"	 ""	 ""

fulgurating	 ""	 ""	 ""

frondiferous	 ""	 ""	 ""

fluidounce	 ""	 ""	 ""

nipped	 ""	 ""	 ""

pampered	 ""	 ""	 ""

Fructidor	 ""	 ""	 ""

redeemable	 ""	 ""	 ""

insipidity	 ""	 ""	 ""

frontals	 null	 null	 null

foumart	 ""	 ""	 ""

franking	 ""	 ""	 ""

ravel	 " ravelled"	 ""	 " ravelling"

fasciculi	 ""	 ""	 ""

furfur	 ""	 ""	 ""

flamingo	 "flamingoes"	 ""	 ""

flimsily	 ""	 ""	 ""

honeycombed	 ""	 ""	 ""

outfield	 ""	 ""	 ""

fermentable	 ""	 ""	 ""

flabelliform	 ""	 ""	 ""

albatrosses	 ""	 ""	 ""

fibrination	 ""	 ""	 ""

Fussiness	 ""	 ""	 ""

flitty	 ""	 ""	 ""

follies	 ""	 ""	 ""

flaky	 ""	 ""	 ""

faxed	 ""	 ""	 ""

tailed	 ""	 ""	 ""

fractionally	 ""	 ""	 ""

fanega	 ""	 ""	 ""

forereach	 ""	 "forereaching"	 "forereached"

forcible-feeble	 ""	 ""	 ""

flunked	 ""	 ""	 ""

dandle	 ""	 ""	 ""

foregift	 ""	 ""	 ""

flip	 ""	 "flipping"	 "flipped"

figurate	 ""	 ""	 ""

willow-herb	 ""	 ""	 ""

forestry	 ""	 ""	 ""

forgivable	 ""	 ""	 ""

Findon	 ""	 ""	 ""

fluviatile	 ""	 ""	 ""

fantasticism	 ""	 ""	 ""

fecundates	 ""	 ""	 ""

fricando	 ""	 ""	 ""

frostbite	 "frostbites"	 "frostbiting"	 "frostbit"

perfidiously	 ""	 ""	 ""

fibrovascular	 ""	 ""	 ""

rankle	 ""	 "rankling"	 "rankled"

mainspring	 "mainsprings"	 ""	 ""

furbelowed	 ""	 ""	 ""

festivous	 ""	 ""	 ""

wards	 ""	 ""	 ""

flyman	 "flymen"	 ""	 ""

Blick	 ""	 ""	 ""

Formicidae	 ""	 ""	 ""

foregoer	 ""	 ""	 ""

frosted	 ""	 ""	 ""

manus	 "manus"	 ""	 ""

fiascoes	 ""	 ""	 ""

frizzles	 ""	 ""	 ""

fasciole	 ""	 ""	 ""

frizzled	 ""	 ""	 ""

evanescent	 ""	 ""	 ""

frangibility	 ""	 ""	 ""

infundibuliform	 ""	 ""	 ""

faulting	 ""	 ""	 ""

fourier	 ""	 ""	 ""

leaved	 ""	 ""	 ""

ninny	 "ninnies"	 ""	 ""

footfall	 "footfalls"	 ""	 ""

mush	 "mushes"	 "mushing"	 "mushed"

ferrying	 ""	 ""	 ""

perquisites	 ""	 ""	 ""

fakir	 ""	 ""	 ""

furcula	 "furculae"	 ""	 ""

machinist	 "machinists"	 ""	 ""

fenceless	 ""	 ""	 ""

plaits	 ""	 ""	 ""

frescos	 ""	 ""	 ""

fulmar	 ""	 ""	 ""

foliose	 ""	 ""	 ""

pilfering	 ""	 ""	 ""

unguarded	 ""	 ""	 ""

lancet	 ""	 ""	 ""

fiendish	 ""	 ""	 ""

friary	 "friaries"	 ""	 ""

fan-shaped	 ""	 ""	 ""

focalized	 ""	 ""	 ""

fealty	 "fealties"	 ""	 ""

fluxion	 ""	 ""	 ""

stinking	 ""	 ""	 ""

fussing	 ""	 ""	 ""

effervescent	 ""	 ""	 ""

foggage	 ""	 ""	 ""

Turanian	 ""	 ""	 ""

ferriferous	 ""	 ""	 ""

fred	 ""	 ""	 ""

flatworm	 ""	 ""	 ""

fomites	 ""	 ""	 ""

obsequies	 ""	 ""	 ""

flamines	 ""	 ""	 ""

fioriture	 ""	 ""	 ""

sup	 ""	 "supping"	 "supped"

fantasm	 ""	 ""	 ""

flashiness	 ""	 ""	 ""

traitorous	 ""	 ""	 ""

flaneur	 ""	 ""	 ""

toa	 ""	 ""	 ""

fixedly	 ""	 ""	 ""

flimflam	 "flimflams"	 "flimflamming"	 "flimflammed"

fussure	 ""	 ""	 ""

furcation	 ""	 ""	 ""

flamy	 ""	 ""	 ""

farraginous	 ""	 ""	 ""

filtrating	 ""	 ""	 ""

fairest	 ""	 ""	 ""

functionate	 ""	 ""	 ""

fusile	 ""	 ""	 ""

Francolinus	 ""	 ""	 ""

snob	 "snobs"	 ""	 ""

hereditament	 ""	 ""	 ""

foliate	 ""	 "foliating"	 "foliated"

foliar	 ""	 ""	 ""

phantasm	 ""	 ""	 ""

fellowless	 ""	 ""	 ""

flop	 "flops"	 "flopping"	 "flopped"

rancid	 ""	 ""	 ""

muff	 "muffs"	 "muffing"	 "muffed"

fluxionist	 ""	 ""	 ""

feminization	 ""	 ""	 ""

fundus	 "fundi"	 ""	 ""

blunt-edged	 ""	 ""	 ""

flouring	 ""	 ""	 ""

foreyard	 ""	 ""	 ""

faille	 ""	 ""	 ""

footstone	 ""	 ""	 ""

felspathic	 ""	 ""	 ""

fissiped	 ""	 ""	 ""

reefing	 ""	 ""	 ""

fragrans	 ""	 ""	 ""

Fitzclarence	 ""	 ""	 ""

Atropos	 ""	 ""	 ""

mycologist	 ""	 ""	 ""

fantasied	 ""	 ""	 ""

functionally	 ""	 ""	 ""

fugle	 ""	 "fugling"	 "fugled"

diapers	 ""	 ""	 ""

felsite	 ""	 ""	 ""

faradism	 ""	 ""	 ""

featherlike	 ""	 ""	 ""

inconsiderable	 ""	 ""	 ""

farrowed	 ""	 ""	 ""

ferrocyanide	 ""	 ""	 ""

Fuego	 null	 null	 null

dept	 "depts"	 ""	 ""

faradization	 ""	 ""	 ""

protestations	 ""	 ""	 ""

fissiparous	 ""	 ""	 ""

fauteuils	 ""	 ""	 ""

sovereignties	 ""	 ""	 ""

repudiating	 ""	 ""	 ""

pekan	 ""	 ""	 ""

foddering	 null	 null	 null

fulham	 ""	 ""	 ""

fungicide	 "fungicides"	 ""	 ""

fellfare	 ""	 ""	 ""

fiefs	 ""	 ""	 ""

Insectivora	 ""	 ""	 ""

firkin	 ""	 ""	 ""

flutist	 "flutists"	 ""	 ""

fruitive	 ""	 ""	 ""

savagely	 ""	 ""	 ""

foots	 ""	 ""	 ""

foetor	 ""	 ""	 ""

footy	 ""	 ""	 ""

forerun	 ""	 "forerunning"	 "foreran"

fungal	 ""	 ""	 ""

finny	 ""	 ""	 ""

scurf	 ""	 ""	 ""

Finns	 ""	 ""	 ""

fricasseeing	 ""	 ""	 ""

precautions	 ""	 ""	 ""

embodies	 ""	 ""	 ""

freshen	 ""	 "freshening"	 "freshened"

hatcheling	 ""	 ""	 ""

evolutions	 ""	 ""	 ""

full-bottomed	 ""	 ""	 ""

fixity	 "fixities"	 ""	 ""

fungivorous	 ""	 ""	 ""

footway	 ""	 ""	 ""

plying	 ""	 ""	 ""

festination	 ""	 ""	 ""

fubsy	 ""	 ""	 ""

fourpence	 ""	 ""	 ""

fere	 ""	 ""	 ""

FERS	 ""	 ""	 ""

tribune	 ""	 ""	 ""

foisted	 ""	 ""	 ""

Pandion	 ""	 ""	 ""

luckily	 ""	 ""	 ""

forborne	 null	 null	 null

felicitation	 ""	 ""	 ""

shiner	 ""	 ""	 ""

radically	 ""	 ""	 ""

formalize	 ""	 "formalizing"	 "formalized"

implant	 "implants"	 "implanting"	 "implanted"

flatted	 null	 null	 null

festers	 ""	 ""	 ""

flushes	 ""	 ""	 ""

funebrial	 ""	 ""	 ""

frontage	 "frontages"	 ""	 ""

feculency	 ""	 ""	 ""

vetches	 ""	 ""	 ""

appellations	 ""	 ""	 ""

Frigga	 ""	 ""	 ""

forgeries	 ""	 ""	 ""

foliature	 ""	 ""	 ""

flagman	 "flagmen"	 ""	 ""

floweret	 ""	 ""	 ""

turbid	 ""	 ""	 ""

environment	 "environments"	 ""	 ""

folderol	 ""	 ""	 ""

federation	 "federations"	 ""	 ""

frapping	 ""	 ""	 ""

frequencies	 ""	 ""	 ""

flench	 ""	 "flenching"	 "flenched"

incitement	 "incitements"	 ""	 ""

fraenum	 ""	 ""	 ""

liveryman	 "liverymen"	 ""	 ""

flittern	 ""	 ""	 ""

formulized	 ""	 ""	 ""

fanon	 ""	 ""	 ""

vouched	 ""	 ""	 ""

piccolo	 "piccolos"	 ""	 ""

feted	 ""	 ""	 ""

pilferer	 ""	 ""	 ""

stipule	 ""	 ""	 ""

spurring	 ""	 ""	 ""

fortuneless	 ""	 ""	 ""

erigeron	 ""	 ""	 ""

fluky	 ""	 ""	 ""

trespassers	 ""	 ""	 ""

femininity	 ""	 ""	 ""

flanch	 ""	 ""	 ""

eyestalk	 ""	 ""	 ""

frumpish	 ""	 ""	 ""

fishgig	 ""	 ""	 ""

frontless	 ""	 ""	 ""

foremilk	 ""	 ""	 ""

furfuration	 ""	 ""	 ""

hector	 "hectors"	 "hectoring"	 "hectored"

herpes	 ""	 ""	 ""

fleche	 ""	 ""	 ""

frothy	 ""	 ""	 ""

fruticose	 ""	 ""	 ""

milldam	 ""	 ""	 ""

finitude	 ""	 ""	 ""

faineant	 ""	 ""	 ""

first-hand	 ""	 ""	 ""

fauns	 ""	 ""	 ""

ferri	 ""	 ""	 ""

reflux	 ""	 ""	 ""

inveterate	 ""	 ""	 ""

jetsam	 null	 null	 null

swordlike	 ""	 ""	 ""

fusillading	 ""	 ""	 ""

filicoid	 ""	 ""	 ""

amazons	 ""	 ""	 ""

fibrilla	 ""	 ""	 ""

flagellator	 ""	 ""	 ""

filtrate	 ""	 "filtrating"	 "filtrated"

fabulize	 ""	 ""	 ""

fibrillary	 ""	 ""	 ""

feoffing	 ""	 ""	 ""

forestage	 ""	 ""	 ""

fishmonger	 "fishmongers"	 ""	 ""

Floran	 ""	 ""	 ""

semidiurnal	 ""	 ""	 ""

labroid	 ""	 ""	 ""

imagining	 ""	 ""	 ""

full-fed	 ""	 ""	 ""

furnisher	 ""	 ""	 ""

pugnacity	 ""	 ""	 ""

firring	 ""	 ""	 ""

rationality	 "rationalities"	 ""	 ""

ferm	 ""	 ""	 ""

sabal	 ""	 ""	 ""

freckly	 ""	 ""	 ""

Conyza	 ""	 ""	 ""

Lampyridae	 ""	 ""	 ""

pillager	 ""	 ""	 ""

whiplash	 ""	 ""	 ""

flaccid	 ""	 ""	 ""

forktail	 ""	 ""	 ""

flyer	 "flyers"	 ""	 ""

fossilization	 ""	 ""	 ""

foamless	 ""	 ""	 ""

fuchsia	 "fuchsias"	 ""	 ""

fricative	 ""	 ""	 ""

frisker	 ""	 ""	 ""

fetches	 ""	 ""	 ""

Sebastopol	 null	 null	 null

storeship	 ""	 ""	 ""

girded	 ""	 ""	 ""

empyreumatic	 ""	 ""	 ""

friending	 null	 null	 null

fringy	 ""	 ""	 ""

Lachesis	 ""	 ""	 ""

fluobenzene	 ""	 ""	 ""

foundered	 ""	 ""	 ""

feruling	 ""	 ""	 ""

paraphrase	 "paraphrases"	 "paraphrasing"	 "paraphrased"

skilful	 ""	 ""	 ""

furbishing	 ""	 ""	 ""

freshman	 "freshmen"	 ""	 ""

fantom	 ""	 ""	 ""

falcate	 ""	 ""	 ""

flagellums	 ""	 ""	 ""

frostfish	 ""	 ""	 ""

fixure	 ""	 ""	 ""

frontiersmen	 ""	 ""	 ""

monads	 ""	 ""	 ""

fruitery	 ""	 ""	 ""

fipple	 ""	 ""	 ""

fulsome	 ""	 ""	 ""

frostwork	 null	 null	 null

floe	 ""	 ""	 ""

fatherly	 ""	 ""	 ""

festoon	 "festoons"	 "festooning"	 "festooned"

fatback	 ""	 ""	 ""

mirthfully	 ""	 ""	 ""

furfurol	 ""	 ""	 ""

pinnacle	 "pinnacles"	 ""	 ""

vagary	 "vagaries"	 ""	 ""

faculae	 ""	 ""	 ""

pane	 "panes"	 ""	 ""

farmery	 ""	 ""	 ""

foreknows	 ""	 ""	 ""

turbot	 null	 null	 null

feoffee	 ""	 ""	 ""

warding	 null	 null	 null

floundering	 ""	 ""	 ""

multiplier	 ""	 ""	 ""

postage	 ""	 ""	 ""

thrummed	 ""	 ""	 ""

flocculence	 ""	 ""	 ""

fistuliform	 ""	 ""	 ""

poh	 ""	 ""	 ""

continuations	 ""	 ""	 ""

fanaticized	 ""	 ""	 ""

fructifying	 ""	 ""	 ""

foziness	 ""	 ""	 ""

fluey	 ""	 ""	 ""

foreclosed	 ""	 ""	 ""

rhus	 ""	 ""	 ""

furthermost	 ""	 ""	 ""

irrespective	 ""	 ""	 ""

fetuses	 ""	 ""	 ""

affrighted	 ""	 ""	 ""

fended	 ""	 ""	 ""

ragout	 "ragouts"	 ""	 ""

fathoming	 ""	 ""	 ""

fungin	 ""	 ""	 ""

kilt	 "kilts"	 ""	 ""

lavish	 ""	 "lavishing"	 "lavished"

formulating	 ""	 ""	 ""

fulminating	 ""	 ""	 ""

reformed	 ""	 ""	 ""

predetermined	 ""	 ""	 ""

fustigation	 ""	 ""	 ""

farthermost	 ""	 ""	 ""

exquisitely	 ""	 ""	 ""

flyblown	 ""	 ""	 ""

snort	 "snorts"	 "snorting"	 "snorted"

fount	 "founts"	 ""	 ""

daddy	 "daddies"	 ""	 ""

frutex	 ""	 ""	 ""

freebooty	 ""	 ""	 ""

floured	 ""	 ""	 ""

frees	 ""	 ""	 ""

glanders	 ""	 ""	 ""

fabler	 ""	 ""	 ""

flusher	 ""	 ""	 ""

fadeless	 ""	 ""	 ""

journeyman	 "journeymen"	 ""	 ""

tintype	 ""	 ""	 ""

free-living	 ""	 ""	 ""

unsympathetic	 ""	 ""	 ""

fiddledeedee	 ""	 ""	 ""

flocculation	 ""	 ""	 ""

wasteful	 ""	 ""	 ""

speculates	 ""	 ""	 ""

forewarn	 ""	 "forewarning"	 "forewarned"

Fawkner	 ""	 ""	 ""

foreward	 ""	 ""	 ""

lastly	 ""	 ""	 ""

ferric	 ""	 ""	 ""

FISE	 ""	 ""	 ""

hepatica	 "hepaticas"	 ""	 ""

forbade	 null	 null	 null

fundamentals	 ""	 ""	 ""

frostbird	 ""	 ""	 ""

emancipate	 ""	 "emancipating"	 "emancipated"

forecited	 ""	 ""	 ""

fiddled	 ""	 ""	 ""

finner	 ""	 ""	 ""

finale	 "finales"	 ""	 ""

flocculate	 ""	 "flocculating"	 "flocculated"

fleshing	 ""	 ""	 ""

ferrule	 "ferrules"	 "ferruling"	 "ferruled"

fizzle	 ""	 "fizzling"	 "fizzled"

frankpledge	 ""	 ""	 ""

foresters	 ""	 ""	 ""

viverrine	 ""	 ""	 ""

fibbed	 ""	 ""	 ""

Morgana	 ""	 ""	 ""

immutable	 ""	 ""	 ""

funambulist	 ""	 ""	 ""

facetious	 ""	 ""	 ""

sandstones	 ""	 ""	 ""

fad	 "fads"	 ""	 ""

motes	 ""	 ""	 ""

four-poster	 ""	 ""	 ""

flexuose	 ""	 ""	 ""

fringing	 ""	 ""	 ""

regulus	 ""	 ""	 ""

foison	 ""	 ""	 ""

Fitweed	 ""	 ""	 ""

foamed	 ""	 ""	 ""

drudgery	 ""	 ""	 ""

foreshortened	 ""	 ""	 ""

flix	 ""	 ""	 ""

flowerer	 ""	 ""	 ""

fretty	 ""	 ""	 ""

fumigant	 ""	 ""	 ""

foxglove	 "foxgloves"	 ""	 ""

fernery	 "ferneries"	 ""	 ""

fagged	 ""	 ""	 ""

firewarden	 ""	 ""	 ""

snub	 ""	 "snubbing"	 "snubbed"

ichthyosis	 ""	 ""	 ""

dentate	 ""	 ""	 ""

flowered	 ""	 ""	 ""

furrowy	 ""	 ""	 ""

flit	 ""	 "flitting"	 "flitted"

flam	 ""	 ""	 ""

smokiness	 ""	 ""	 ""

flatiron	 ""	 ""	 ""

requisitions	 ""	 ""	 ""

thievish	 ""	 ""	 ""

funiculate	 ""	 ""	 ""

extinguishes	 ""	 ""	 ""

liveried	 ""	 ""	 ""

fencible	 ""	 ""	 ""

sours	 ""	 ""	 ""

turnover	 "turnovers"	 ""	 ""

feminized	 ""	 ""	 ""

magnanimity	 "magnanimities"	 ""	 ""

flaunt	 ""	 "flaunting"	 "flaunted"

flounce	 "flounces"	 "flouncing"	 "flounced"

fusee	 "fusees"	 ""	 ""

Mustela	 ""	 ""	 ""

frenetic	 ""	 ""	 ""

flexural	 ""	 ""	 ""

fimbriated	 ""	 ""	 ""

incompleteness	 ""	 ""	 ""

unimpressible	 ""	 ""	 ""

filose	 ""	 ""	 ""

seditious	 ""	 ""	 ""

flagrance	 ""	 ""	 ""

hilt	 "hilts"	 "hilting"	 "hilted"

foliums	 ""	 ""	 ""

floorless	 ""	 ""	 ""

fibrillous	 ""	 ""	 ""

fantastical	 ""	 ""	 ""

Frigg	 null	 null	 null

finlike	 ""	 ""	 ""

prescient	 ""	 ""	 ""

floatage	 ""	 ""	 ""

rotifers	 ""	 ""	 ""

retinal	 ""	 ""	 ""

silex	 ""	 ""	 ""

fidget	 ""	 "fidgeting"	 "fidgeted"

formeret	 ""	 ""	 ""

fulgurite	 ""	 ""	 ""

shrike	 ""	 ""	 ""

lancing	 ""	 ""	 ""

foresighted	 ""	 ""	 ""

vanes	 ""	 ""	 ""

febrile	 ""	 ""	 ""

foodless	 ""	 ""	 ""

rumen	 "rumina"	 ""	 ""

frizzling	 ""	 ""	 ""

Frenchified	 ""	 ""	 ""

gratuitousness	 ""	 ""	 ""

facient	 ""	 ""	 ""

sullies	 ""	 ""	 ""

fulcrums	 ""	 ""	 ""

footboard	 ""	 ""	 ""

filibustering	 ""	 ""	 ""

rhipidura	 ""	 ""	 ""

fallibly	 ""	 ""	 ""

forego	 ""	 "foregoing"	 "forewent"

farrier	 "farriers"	 ""	 ""

fireback	 ""	 ""	 ""

fetishistic	 ""	 ""	 ""

formidably	 ""	 ""	 ""

romances	 ""	 ""	 ""

fringeless	 ""	 ""	 ""

foughten	 ""	 ""	 ""

wrinkling	 ""	 ""	 ""

falser	 null	 null	 null

frugality	 ""	 ""	 ""

settlings	 ""	 ""	 ""

tubelike	 ""	 ""	 ""

francolin	 ""	 ""	 ""

fatality	 "fatalities"	 ""	 ""

franchised	 ""	 ""	 ""

Fronde	 ""	 ""	 ""

faucial	 ""	 ""	 ""

flier	 "fliers"	 ""	 ""

whelp	 "whelps"	 "whelping"	 "whelped"

fibred	 ""	 ""	 ""

Friesland	 null	 null	 null

pf	 ""	 ""	 ""

ferricyanic	 ""	 ""	 ""

fumigation	 null	 null	 null

flints	 ""	 ""	 ""

fecula	 ""	 ""	 ""

fireside	 "firesides"	 ""	 ""

paddle-wheel	 ""	 ""	 ""

fanion	 ""	 ""	 ""

froggy	 ""	 ""	 ""

fumarine	 ""	 ""	 ""

floscule	 ""	 ""	 ""

fire-new	 ""	 ""	 ""

yucca	 "yuccas"	 ""	 ""

fayalite	 ""	 ""	 ""

filicide	 ""	 ""	 ""

fabellae	 ""	 ""	 ""

uneasily	 ""	 ""	 ""

fructose	 ""	 ""	 ""

frizz	 ""	 "frizzing"	 "frizzed"

forepast	 ""	 ""	 ""

flunkydom	 ""	 ""	 ""

hinny	 "hinnies"	 ""	 ""

foreshorten	 ""	 "foreshortening"	 "foreshortened"

predetermine	 null	 "predetermining"	 "predetermined"

fogyism	 ""	 ""	 ""

finder	 "finders"	 ""	 ""

fieldwork	 ""	 ""	 ""

feral	 ""	 ""	 ""

fissipedal	 ""	 ""	 ""

systematically	 ""	 ""	 ""

flabbergasted	 ""	 ""	 ""

fossorial	 ""	 ""	 ""

fairing	 ""	 ""	 ""

Lapps	 ""	 ""	 ""

fanciless	 ""	 ""	 ""

yttrium	 ""	 ""	 ""

ferrocyanic	 ""	 ""	 ""

Jetson	 ""	 ""	 ""

pillaging	 ""	 ""	 ""

phormium	 ""	 ""	 ""

forbears	 ""	 ""	 ""

feneration	 ""	 ""	 ""

fanlike	 ""	 ""	 ""

forkiness	 ""	 ""	 ""

fugacious	 ""	 ""	 ""

functionalize	 ""	 ""	 ""

fricandeau	 ""	 ""	 ""

fluty	 ""	 ""	 ""

fountful	 ""	 ""	 ""

nerveless	 ""	 ""	 ""

flagellated	 ""	 ""	 ""

streetwalker	 "streetwalkers"	 ""	 ""

fowlerite	 ""	 ""	 ""

featureless	 ""	 ""	 ""

fash	 ""	 ""	 ""

fearfulness	 ""	 ""	 ""

filer	 ""	 ""	 ""

fracted	 ""	 ""	 ""

filed	 ""	 ""	 ""

formulize	 ""	 "formulizing"	 "formulized"

two-faced	 ""	 ""	 ""

flite	 ""	 ""	 ""

fries	 ""	 ""	 ""

frier	 ""	 ""	 ""

full-blown	 ""	 ""	 ""

fice	 ""	 ""	 ""

fumigate	 ""	 "fumigating"	 "fumigated"

dazzlingly	 ""	 ""	 ""

fico	 ""	 ""	 ""

fortifiable	 ""	 ""	 ""

ruffing	 ""	 ""	 ""

prescience	 ""	 ""	 ""

forget-me-not	 "forget-me-nots"	 ""	 ""

forestalled	 ""	 ""	 ""

flammability	 ""	 ""	 ""

fripper	 ""	 ""	 ""

flirtation	 "flirtations"	 ""	 ""

fertilizer	 "fertilizers"	 ""	 ""

fends	 ""	 ""	 ""

trigonocephalus	 ""	 ""	 ""

maxilliped	 ""	 ""	 ""

frilling	 ""	 ""	 ""

liquefy	 ""	 "liquefying"	 "liquefied"

wildness	 ""	 ""	 ""

fluoranthene	 ""	 ""	 ""

feverous	 ""	 ""	 ""

feather-head	 ""	 ""	 ""

fuddler	 ""	 ""	 ""

furzy	 ""	 ""	 ""

fenced	 ""	 ""	 ""

fencer	 ""	 ""	 ""

free-spoken	 ""	 ""	 ""

flang	 ""	 ""	 ""

footmark	 ""	 ""	 ""

feudalize	 ""	 "feudalizing"	 "feudalized"

fretted	 ""	 ""	 ""

eryngium	 ""	 ""	 ""

fault-finder	 ""	 ""	 ""

Ranella	 ""	 ""	 ""

fluoroscope	 ""	 ""	 ""

foetation	 ""	 ""	 ""

